instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|42854,22450.0,PE,33.0,70526.85,1650.0
NSE_FO|42856,22500.0,PE,35.65,71498.3,1782.5
NSE_FO|42860,22550.0,PE,24.85,70745.35,1242.5
NSE_FO|42866,22600.0,PE,25.7,71622.85,1285.0
NSE_FO|42868,22650.0,PE,42.05,74364.1,2102.5
NSE_FO|42878,22700.0,PE,46.85,75398.8,2342.5
NSE_FO|42880,22750.0,PE,29.25,74330.85,1462.5
NSE_FO|42882,22800.0,PE,52.55,77346.3,2627.5
NSE_FO|42884,22850.0,PE,32.5,76074.35,1625.0
NSE_FO|42888,22900.0,PE,60.85,79398.5,3042.5
NSE_FO|42890,22950.0,PE,36.75,77891.85,1837.5
NSE_FO|42892,23000.0,PE,70.05,81490.85,3502.5
NSE_FO|42898,23050.0,PE,74.5,82463.9,3725.0
NSE_FO|42900,23100.0,PE,80.0,83531.85,4000.0
NSE_FO|42902,23150.0,PE,85.7,84549.8,4285.0
NSE_FO|42906,23200.0,PE,93.05,85739.3,4652.5
NSE_FO|42908,23250.0,PE,98.0,86695.8,4900.0
NSE_FO|42910,23300.0,PE,104.0,88296.8,5200.0
NSE_FO|42912,23350.0,PE,111.6,90367.35,5580.0
NSE_FO|42914,23400.0,PE,119.4,92508.95,5970.0
NSE_FO|42916,23450.0,PE,127.95,94669.75,6397.5
NSE_FO|42918,23500.0,PE,135.05,96833.05,6752.500000000001
NSE_FO|42920,23550.0,PE,145.65,98873.7,7282.5
NSE_FO|42923,23600.0,PE,154.25,101073.35,7712.5
NSE_FO|42925,23650.0,PE,165.25,103256.5,8262.5
NSE_FO|42930,23700.0,PE,173.35,105469.3,8667.5
NSE_FO|42932,23750.0,PE,187.35,107750.7,9367.5
NSE_FO|42934,23800.0,PE,198.05,109887.35,9902.5
NSE_FO|42936,23850.0,PE,206.1,112115.3,10305.0
NSE_FO|42940,23900.0,PE,223.55,114366.3,11177.5
NSE_FO|42944,23950.0,PE,240.2,116466.85,12010.0
NSE_FO|42949,24000.0,PE,253.55,118872.9,12677.5
NSE_FO|42954,24050.0,PE,267.75,121057.5,13387.5
NSE_FO|42956,24100.0,PE,284.05,123322.7,14202.5
NSE_FO|42962,24150.0,PE,298.4,125641.45,14919.999999999998
NSE_FO|42964,24200.0,PE,320.0,127890.15,16000.0
NSE_FO|42966,24250.0,PE,340.05,130270.25,17002.5
NSE_FO|42968,24300.0,PE,360.05,132456.25,18002.5
NSE_FO|45607,24350.0,PE,380.0,134772.35,19000.0
NSE_FO|45638,24400.0,PE,401.1,137093.95,20055.0
NSE_FO|45749,24450.0,PE,421.8,139532.6,21090.0
NSE_FO|46182,24500.0,PE,452.0,141746.25,22600.0
NSE_FO|46186,24550.0,PE,476.15,144266.05,23807.5
NSE_FO|46473,24600.0,PE,502.0,146620.95,25100.0
NSE_FO|46475,24650.0,PE,529.95,149011.85,26497.500000000004
NSE_FO|46479,24700.0,PE,560.0,151391.45,28000.0
NSE_FO|47237,24750.0,PE,589.0,153731.4,29450.0
NSE_FO|47244,24800.0,PE,616.3,156362.9,30814.999999999996
NSE_FO|47246,24850.0,PE,630.05,156526.3,31502.499999999996
NSE_FO|47616,24900.0,PE,686.0,161206.75,34300.0
NSE_FO|47619,24950.0,PE,708.0,161668.9,35400.0
NSE_FO|47621,25000.0,PE,756.6,166172.35,37830.0
NSE_FO|47806,25050.0,PE,781.55,168503.4,39077.5
NSE_FO|47808,25100.0,PE,824.55,171237.1,41227.5
NSE_FO|47842,25150.0,PE,851.3,172046.65,42565.0
NSE_FO|47915,25200.0,PE,904.65,176180.35,45232.5
NSE_FO|47961,25250.0,PE,921.3,177274.65,46065.0
NSE_FO|47966,25300.0,PE,977.75,181510.85,48887.5
NSE_FO|47974,25350.0,PE,1017.85,182523.2,50892.5
NSE_FO|47978,25400.0,PE,1062.1,186588.85,53104.99999999999
NSE_FO|48002,25450.0,PE,1099.6,189251.6,54979.99999999999
NSE_FO|48006,25500.0,PE,1155.0,191976.2,57750.0
NSE_FO|48009,25550.0,PE,1185.25,193901.9,59262.5
NSE_FO|48014,25600.0,PE,1238.4,196752.7,61920.00000000001
NSE_FO|48062,25650.0,PE,1259.45,198287.65,62972.5
NSE_FO|48077,25700.0,PE,1330.4,202075.35,66520.0
NSE_FO|48079,25750.0,PE,1342.7,203398.8,67135.0
NSE_FO|48083,25800.0,PE,1415.9,207531.65,70795.0
NSE_FO|48085,25850.0,PE,1445.2,208866.85,72260.0
NSE_FO|48088,25900.0,PE,1508.05,211457.7,75402.5
NSE_FO|48090,25950.0,PE,1532.8,213868.85,76640.0
NSE_FO|48092,26000.0,PE,1616.55,218218.15,80827.5
NSE_FO|48094,26050.0,PE,1633.65,219117.85,81682.5
NSE_FO|48099,26100.0,PE,1707.35,223271.6,85367.5
NSE_FO|48101,26150.0,PE,1723.9,224503.6,86195.0
NSE_FO|48103,26200.0,PE,1807.0,228830.75,90350.0
NSE_FO|48107,26250.0,PE,1839.8,233443.85,91990.0
NSE_FO|48109,26300.0,PE,1899.5,234570.6,94975.0
NSE_FO|48111,26350.0,PE,1916.8,234682.35,95840.0
NSE_FO|48115,26400.0,PE,1990.25,238644.05,99512.5
NSE_FO|48120,26450.0,PE,2012.45,239224.3,100622.5
NSE_FO|48131,26500.0,PE,2102.5,244558.35,105125.0
NSE_FO|48134,26550.0,PE,2112.25,244417.05,105612.5
NSE_FO|48148,26600.0,PE,2169.7,247813.85,108484.99999999999
NSE_FO|48154,26650.0,PE,2142.85,250353.35,107142.5
NSE_FO|48163,26700.0,PE,2269.3,253009.85,113465.00000000001
NSE_FO|48165,26750.0,PE,2343.75,256869.75,117187.5
NSE_FO|48167,26800.0,PE,2352.3,258083.35,117615.00000000001
NSE_FO|48169,26850.0,PE,2405.1,260053.7,120255.0
NSE_FO|48174,26900.0,PE,2481.8,263208.85,124090.00000000001
NSE_FO|48179,26950.0,PE,2430.3,265777.55,121515.00000000001
NSE_FO|48181,27000.0,PE,2598.3,270173.8,129915.00000000001
NSE_FO|48185,27050.0,PE,2370.3,269090.9,118515.00000000001
NSE_FO|48198,27100.0,PE,2617.75,273473.35,130887.5
NSE_FO|48200,27150.0,PE,2661.65,274988.65,133082.5
NSE_FO|48205,27200.0,PE,2712.6,278558.15,135630.0
NSE_FO|48207,27250.0,PE,2762.35,278259.85,138117.5
NSE_FO|48209,27300.0,PE,2807.7,283615.3,140385.0
NSE_FO|48214,27350.0,PE,2859.75,283257.85,142987.5
NSE_FO|48218,27400.0,PE,2909.1,288765.85,145455.0
NSE_FO|48220,27450.0,PE,2957.05,289341.15,147852.5
NSE_FO|48222,27500.0,PE,3087.35,295368.85,154367.5
NSE_FO|48224,27550.0,PE,3054.35,294405.05,152717.5
NSE_FO|48226,27600.0,PE,3098.75,298958.35,154937.5
NSE_FO|48232,27650.0,PE,3151.7,298228.35,157585.0
NSE_FO|48234,27700.0,PE,3196.05,303952.55,159802.5
NSE_FO|48236,27750.0,PE,3249.25,303215.35,162462.5
NSE_FO|48238,27800.0,PE,3294.5,309117.35,164725.0
NSE_FO|48241,27850.0,PE,3342.0,311619.35,167100.0
NSE_FO|48249,27900.0,PE,3389.4,314090.6,169470.0
NSE_FO|48277,27950.0,PE,3439.2,316709.85,171960.0
