instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|42854,22450.0,PE,33.0,35263.43,825.0
NSE_FO|42856,22500.0,PE,35.65,35749.15,891.25
NSE_FO|42860,22550.0,PE,24.85,35372.68,621.25
NSE_FO|42866,22600.0,PE,25.7,35811.43,642.5
NSE_FO|42868,22650.0,PE,42.05,37182.05,1051.25
NSE_FO|42878,22700.0,PE,46.85,37699.4,1171.25
NSE_FO|42880,22750.0,PE,29.25,37165.43,731.25
NSE_FO|42882,22800.0,PE,52.55,38673.15,1313.75
NSE_FO|42884,22850.0,PE,32.5,38037.18,812.5
NSE_FO|42888,22900.0,PE,60.85,39699.25,1521.25
NSE_FO|42890,22950.0,PE,36.75,38945.93,918.75
NSE_FO|42892,23000.0,PE,70.05,40745.43,1751.25
NSE_FO|42898,23050.0,PE,74.5,41231.95,1862.5
NSE_FO|42900,23100.0,PE,80.0,41765.93,2000.0
NSE_FO|42902,23150.0,PE,85.7,42274.9,2142.5
NSE_FO|42906,23200.0,PE,93.05,42869.65,2326.25
NSE_FO|42908,23250.0,PE,98.0,43347.9,2450.0
NSE_FO|42910,23300.0,PE,104.0,44148.4,2600.0
NSE_FO|42912,23350.0,PE,111.6,45183.68,2790.0
NSE_FO|42914,23400.0,PE,119.4,46254.48,2985.0
NSE_FO|42916,23450.0,PE,127.95,47334.88,3198.75
NSE_FO|42918,23500.0,PE,135.05,48416.53,3376.2500000000005
NSE_FO|42920,23550.0,PE,145.65,49436.85,3641.25
NSE_FO|42923,23600.0,PE,154.25,50536.68,3856.25
NSE_FO|42925,23650.0,PE,165.25,51628.25,4131.25
NSE_FO|42930,23700.0,PE,173.35,52734.65,4333.75
NSE_FO|42932,23750.0,PE,187.35,53875.35,4683.75
NSE_FO|42934,23800.0,PE,198.05,54943.68,4951.25
NSE_FO|42936,23850.0,PE,206.1,56057.65,5152.5
NSE_FO|42940,23900.0,PE,223.55,57183.15,5588.75
NSE_FO|42944,23950.0,PE,240.2,58233.43,6005.0
NSE_FO|42949,24000.0,PE,253.55,59436.45,6338.75
NSE_FO|42954,24050.0,PE,267.75,60528.75,6693.75
NSE_FO|42956,24100.0,PE,284.05,61661.35,7101.25
NSE_FO|42962,24150.0,PE,298.4,62820.73,7459.999999999999
NSE_FO|42964,24200.0,PE,320.0,63945.08,8000.0
NSE_FO|42966,24250.0,PE,340.05,65135.13,8501.25
NSE_FO|42968,24300.0,PE,360.05,66228.13,9001.25
NSE_FO|45607,24350.0,PE,380.0,67386.18,9500.0
NSE_FO|45638,24400.0,PE,401.1,68546.98,10027.5
NSE_FO|45749,24450.0,PE,421.8,69766.3,10545.0
NSE_FO|46182,24500.0,PE,452.0,70873.13,11300.0
NSE_FO|46186,24550.0,PE,476.15,72133.03,11903.75
NSE_FO|46473,24600.0,PE,502.0,73310.48,12550.0
NSE_FO|46475,24650.0,PE,529.95,74505.93,13248.750000000002
NSE_FO|46479,24700.0,PE,560.0,75695.73,14000.0
NSE_FO|47237,24750.0,PE,589.0,76865.7,14725.0
NSE_FO|47244,24800.0,PE,616.3,78181.45,15407.499999999998
