instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|42853,22450.0,CE,1943.25,234744.95,97162.5
NSE_FO|42855,22500.0,CE,1900.65,232900.35,95032.5
NSE_FO|42857,22550.0,CE,1898.8,229769.35,94940.0
NSE_FO|42865,22600.0,CE,1847.35,228980.85,92367.5
NSE_FO|42867,22650.0,CE,1800.95,224691.85,90047.5
NSE_FO|42877,22700.0,CE,1746.4,223880.9,87320.0
NSE_FO|42879,22750.0,CE,1707.35,221348.75,85367.5
NSE_FO|42881,22800.0,CE,1657.7,218642.0,82885.0
NSE_FO|42883,22850.0,CE,1613.15,214489.35,80657.5
NSE_FO|42886,22900.0,CE,1566.0,213689.35,78300.0
NSE_FO|42889,22950.0,CE,1520.15,209365.85,76007.5
NSE_FO|42891,23000.0,CE,1437.25,208158.2,71862.5
NSE_FO|42897,23050.0,CE,1428.45,206483.65,71422.5
NSE_FO|42899,23100.0,CE,1365.8,203000.85,68290.0
NSE_FO|42901,23150.0,CE,1338.2,201243.8,66910.0
NSE_FO|42905,23200.0,CE,1269.4,198793.55,63470.00000000001
NSE_FO|42907,23250.0,CE,1237.35,195998.1,61867.49999999999
NSE_FO|42909,23300.0,CE,1192.6,192508.8,59629.99999999999
NSE_FO|42911,23350.0,CE,1152.9,189844.8,57645.00000000001
NSE_FO|42913,23400.0,CE,1104.15,188519.75,55207.50000000001
NSE_FO|42915,23450.0,CE,1077.9,184661.35,53895.00000000001
NSE_FO|42917,23500.0,CE,1007.0,183192.35,50350.0
NSE_FO|42919,23550.0,CE,994.9,179404.65,49745.0
NSE_FO|42921,23600.0,CE,932.45,178224.9,46622.5
NSE_FO|42924,23650.0,CE,901.7,174201.4,45085.0
NSE_FO|42929,23700.0,CE,853.7,172802.35,42685.0
NSE_FO|42931,23750.0,CE,830.0,169030.65,41500.0
NSE_FO|42933,23800.0,CE,777.1,168086.6,38855.0
NSE_FO|42935,23850.0,CE,743.55,163856.4,37177.5
NSE_FO|42939,23900.0,CE,703.75,163023.45,35187.5
NSE_FO|42943,23950.0,CE,678.9,158804.3,33945.0
NSE_FO|42948,24000.0,CE,635.0,157684.55,31750.0
NSE_FO|42953,24050.0,CE,609.75,153750.8,30487.5
NSE_FO|42955,24100.0,CE,566.0,152622.3,28300.0
NSE_FO|42961,24150.0,CE,535.65,150129.4,26782.5
NSE_FO|42963,24200.0,CE,506.85,147620.05,25342.5
NSE_FO|42965,24250.0,CE,472.5,144968.1,23625.0
NSE_FO|42967,24300.0,CE,445.0,142538.35,22250.0
NSE_FO|42973,24350.0,CE,417.6,140024.05,20880.0
NSE_FO|45637,24400.0,CE,388.85,137566.7,19442.5
NSE_FO|45748,24450.0,CE,361.75,134975.95,18087.5
NSE_FO|46181,24500.0,CE,334.05,132496.9,16702.5
